"","C_1","C_2","S_1","S_2"
"PGAP1",679.422091256308,656.912576948328,2288.6679207147,2288.67982920354
"KLHL12",1244.94496253592,1284.92100051093,1691.39603701804,1691.99369047579
"POMT2",1591.94026060445,1576.59018467599,1372.90099238682,1371.39747181676
"PANX1",1713.78593778882,1685.63767244941,1255.99457600453,1256.73717714341
"SLC29A1",523.141766172011,616.183997177532,2388.33813468165,2380.70980255978
"VDR",3002.43641496696,2896.98446434213,3.74700052507319,4.52606426342164
"RASSF3",1758.81586196565,2066.64696707944,1042.41554607536,1035.71437227965
"METTL3",905.896121675077,877.635202802966,2054.10568784512,2060.86792794465
"AFF3",2398.50566718357,2506.77839363482,500.599270149778,492.586660669055
"PUS7",525.790585241236,550.492739482699,2417.56473877722,2404.09446792079
"KIF23",932.384312367331,882.890503418553,2027.87668416961,2054.07883154952
"PRPF4",925.762264694267,901.284055573106,2035.37068521976,2031.44851023241
"SPRED1",1675.37806128505,1878.76997007222,1166.81596350779,1169.23326805059
"SFT2D2",1397.25205901638,1378.20258643759,1555.75461801039,1556.21176257314
"SLC23A2",1621.07727036593,1504.32980121167,1379.64559333195,1380.4496003436
"MCUR1",1280.70401997047,1350.61225820576,1630.69462851185,1623.34838248056
"XRN1",1883.31035821924,2188.83270639183,903.027126542638,907.475884816038
"DDHD2",1242.2961434667,1315.13897905055,1665.16703334252,1659.55689658793
"YTHDC2",1430.3622973817,1567.39340859871,1436.60000131306,1445.32318811931
"JUP",1972.04579703829,2018.03543638526,941.995932003399,947.456119142929
"CHRNA3",0,2.62765030779331,2937.64841165738,2937.41570696064
"DGKD",1075.4205421055,910.480831650383,1943.19447230295,1945.4532892274
"ZFYVE26",2235.60329442621,2246.64101316328,693.19509713854,695.505208479125
"UBA6",901.922893071239,1009.01771819263,1978.41627723864,1980.90745929087
"CCSER2",1874.03949147695,2007.52483515409,993.704539249409,994.979793908856
"ANKS1A",1238.32291486286,1215.28826735441,1706.38403911833,1710.09794752948
"NDRG3",1438.30875458938,1326.96340543562,1549.01001706526,1550.93135426581
"SYPL1",1850.20011985392,2249.26866347108,876.798122867126,887.108595630641
"XAB2",1511.15127899307,1362.43668459083,1495.0532095042,1493.60120692914
"FRMD8",2071.37651213424,2067.96079223334,864.058321081877,856.934833874497
"DCP2",336.400021791622,400.71667193848,2553.95555788988,2568.54146949178
"OTUD7B",1797.22373846941,1801.25428599232,1131.5941585721,1129.2530337237
"RPL39",664.853586375568,706.837932796401,2197.24110790292,2288.67982920354
"ID1",386.727584106904,384.95077009172,2540.46635599962,2544.40246008686
"STC1",2922.9718428902,2928.51626803565,1.49880021002927,1.50868808780721
"ADRM1",1632.99695617744,1538.48925521298,1370.65279207177,1311.80429234837
"BAG1",1418.44261157019,1329.59105574342,1549.01001706526,1550.93135426581
"UTP18",536.385861518138,655.598751794431,2320.89212523033,2334.69481588166
"CDR2",2092.56706468804,2103.43407138855,820.593114991028,824.498039986642
"GYS1",2032.96863563047,1974.67920630667,919.51392885296,913.510637167267
"ARFGAP3",2516.3781157641,2680.20331394918,322.242045156294,319.841874615129
"EMD",1622.40167990054,1551.62750675195,1325.68878577089,1336.69764579719
"ZNF148",1691.2709757004,1931.32297622808,1103.86635468656,1109.6400885822
"ZXDC",1480.68985969698,1517.46805275064,1419.36379889772,1413.64073827536
"ZNF621",1705.83948058114,1715.85565098903,1197.54136781339,1211.47653450919
"ACO2",1962.774930296,1861.69024307156,1004.19614071961,1001.76889030399
"DNAJA3",1597.2378987429,1392.65466313046,1414.11799816262,1425.71024297782
"HECTD3",2083.29619794575,2041.6842891554,852.817319506657,850.145737479364
"TFAM",438.379555956799,409.913448015757,2488.75774875361,2488.581000838
"HPS4",1585.31821293138,1587.10078590716,1328.68638619095,1323.87379705083
"MARCHF11",0,0,2919.66280913703,2902.71588094108
"WDR3",778.752806352259,731.800610720437,2141.03610002682,2163.45871791554
"MEAF6",1442.28198319321,1426.81411713177,1469.5736059337,1476.25129391936
"GBP3",2688.55135526375,3086.17528650324,17.9856025203513,18.1042570536865
"BCL9",985.360693751838,1043.17717219394,1888.48826463689,1890.38617402244
"KDM3A",1468.77017388547,1345.35695759018,1489.8074087691,1498.12727119256
"RHOJ",2738.87891757903,3054.64348280973,3.74700052507319,4.52606426342164
"DHTKD1",696.639415206273,606.987221100255,2247.4509149389,2249.45393892055
