"","C_1","C_2","S_1","S_2"
"ABCC11",7.81434548587387,7.74055727736658,7.65015173675025,7.68662707750815
"ZNF137P",19.5358637146847,6.45046439780549,3.82507586837513,5.3806389542557
"OVOL2",1.30239091431231,2.58018575912219,10.7102124314504,11.5299406162622
"CNGA4",7.81434548587387,5.16037151824439,8.41516691042528,8.45528978525896
"RITA1",3.90717274293693,7.74055727736658,10.7102124314504,6.91796436975733
"SLC39A5",3.90717274293693,2.58018575912219,9.94519725777533,10.7612779085114
"WDR93",5.20956365724924,11.6108359160499,6.88513656307523,7.68662707750815
"SIGLEC10",0,0,13.0052579524754,11.5299406162622
"SCML4",0,0,12.2402427788004,12.298603324013
"CDH22",0,0,12.2402427788004,12.298603324013
"RGPD3",5.20956365724924,1.2900928795611,13.0052579524754,7.68662707750815
"NLRP14",3.90717274293693,3.87027863868329,9.94519725777533,9.99261520076059
"NEK8",7.81434548587387,10.3207430364888,6.1201213894002,7.68662707750815
"IHH",7.81434548587387,2.58018575912219,9.18018208410031,9.22395249300977
"GPR182",0,0,13.0052579524754,11.5299406162622
"C22orf15",15.6286909717477,14.1910216751721,3.0600606947001,3.84331353875407
"CCDC168",3.90717274293693,1.2900928795611,9.94519725777533,11.5299406162622
"SVBP",3.90717274293693,1.2900928795611,10.7102124314504,10.7612779085114
"ADGRD2",0,0,12.2402427788004,12.298603324013
"KCNE1",14.3263000574354,19.3513931934165,2.29504552102508,2.30598812325244
"SLC25A21",29.9549910291832,11.6108359160499,0,0
"ENTPD8",1.30239091431231,1.2900928795611,11.4752276051254,11.5299406162622
"LHFPL5",0,0,12.2402427788004,12.298603324013
"TCEAL6",0,0,12.2402427788004,12.298603324013
"GGTA1",0,0,11.4752276051254,13.0672660317638
"TRIM39",13.0239091431231,1.2900928795611,7.65015173675025,8.45528978525896
"POM121B",3.90717274293693,5.16037151824439,6.88513656307523,12.298603324013
"C4B",15.6286909717477,12.900928795611,3.82507586837513,3.84331353875407
"RANP4",11.7215182288108,11.6108359160499,5.35510621572518,5.3806389542557
"LINC00866",1.30239091431231,1.2900928795611,11.4752276051254,11.5299406162622
"LINC01715",7.81434548587387,2.58018575912219,9.94519725777533,8.45528978525896
"LINC02535",11.7215182288108,11.6108359160499,5.35510621572518,5.3806389542557
"RPL13AP20",18.2334728003724,16.7712074342943,2.29504552102508,1.53732541550163
"PSMC1P1",5.20956365724924,6.45046439780549,6.1201213894002,11.5299406162622
"RPL10P7",0,0,11.4752276051254,13.0672660317638
"HNRNPKP4",7.81434548587387,9.03065015692768,7.65015173675025,6.91796436975733
"C1QTNF7-AS1",3.90717274293693,10.3207430364888,7.65015173675025,8.45528978525896
"SRD5A3-AS1",7.81434548587387,6.45046439780549,8.41516691042528,7.68662707750815
"LINC02422",19.5358637146847,3.87027863868329,5.35510621572518,5.3806389542557
"CCND2-AS1",18.2334728003724,23.2216718320997,0,0
"ANKRD34C-AS1",0,0,13.0052579524754,11.5299406162622
"LRRC37A9P",1.30239091431231,0,12.2402427788004,11.5299406162622
"CFTR",20.838254628997,19.3513931934165,0,0
"FOXP3",7.81434548587387,3.87027863868329,9.18018208410031,7.68662707750815
"BPI",24.7454273719339,15.4811145547332,0,0
"CSF3R",0,0,13.0052579524754,10.7612779085114
"TUBBP1",3.90717274293693,3.87027863868329,10.7102124314504,8.45528978525896
"POPDC3",2.60478182862462,1.2900928795611,7.65015173675025,13.8359287395147
"SLC10A6",18.2334728003724,21.9315789525387,0,0
"NKD2",0,0,13.0052579524754,10.7612779085114
"MEGF10",7.81434548587387,7.74055727736658,7.65015173675025,6.91796436975733
"KCNJ1",27.3502092005585,10.3207430364888,0.765015173675025,0.768662707750814
"SPAG17",15.6286909717477,21.9315789525387,0.765015173675025,0.768662707750814
"AFF2",15.6286909717477,24.5117647116608,0,0
"SVOPL",0,0,12.2402427788004,11.5299406162622
"OTOGL",9.11673640018618,11.6108359160499,5.35510621572518,6.14930166200652
"LPL",0,1.2900928795611,11.4752276051254,11.5299406162622
"LINC00469",0,0,11.4752276051254,12.298603324013
"MGAT4C",1.30239091431231,0,10.7102124314504,12.298603324013
"TREML3P",23.4430364576216,16.7712074342943,0,0
"TAFA3",11.7215182288108,23.2216718320997,1.53003034735005,1.53732541550163
"LINC00158",28.6526001148708,9.03065015692768,0.765015173675025,0.768662707750814
"TMEM221",9.11673640018618,10.3207430364888,6.1201213894002,6.14930166200652
"NKAPL",19.5358637146847,20.6414860729776,0,0
"AKR1B10",24.7454273719339,15.4811145547332,0,0
"LINC02872",22.1406455433093,7.74055727736658,3.0600606947001,3.07465083100326
"LINC01089",7.81434548587387,5.16037151824439,5.35510621572518,10.7612779085114
"NOC2LP1",20.838254628997,16.7712074342943,0.765015173675025,0.768662707750814
"RPL13AP7",23.4430364576216,10.3207430364888,1.53003034735005,2.30598812325244
"ZGLP1",11.7215182288108,6.45046439780549,6.1201213894002,6.91796436975733
"RAPGEF4-AS1",5.20956365724924,12.900928795611,5.35510621572518,7.68662707750815
"LINC01819",16.93108188606,23.2216718320997,0,0
"DHCR24-DT",9.11673640018618,12.900928795611,5.35510621572518,5.3806389542557
"LINC02250",27.3502092005585,5.16037151824439,2.29504552102508,2.30598812325244
"DIAPH2-AS1",0,6.45046439780549,9.94519725777533,9.99261520076059
"AADACL2-AS1",0,0,11.4752276051254,12.298603324013
"TTC4",1.30239091431231,6.45046439780549,7.65015173675025,11.5299406162622
"IL12A-AS1",5.20956365724924,23.2216718320997,3.82507586837513,3.07465083100326
"LINC02145",0,1.2900928795611,11.4752276051254,11.5299406162622
"H4C14",3.90717274293693,19.3513931934165,4.59009104205015,5.3806389542557
"SUV39H2-DT",0,1.2900928795611,13.7702731261505,9.22395249300977
"AOC1",0,1.2900928795611,10.7102124314504,11.5299406162622
"FLT4",1.30239091431231,1.2900928795611,11.4752276051254,9.99261520076059
"ZFYVE16",3.90717274293693,0,8.41516691042528,12.298603324013
"ENTPD2",2.60478182862462,3.87027863868329,9.18018208410031,9.99261520076059
"PTHLH",14.3263000574354,9.03065015692768,4.59009104205015,4.61197624650489
