"","C_1","C_2","S_1","S_2"
"FOXL2",251.406454383462,277.253423237851,0,0
"LRP6",157.617518033155,142.513441851232,112.614571692265,115.596064436391
"PRSS35",123.749291017766,133.444404642517,135.441849737994,135.500022551267
"ZNF267",75.5521987266362,99.7594092958623,175.009131683925,177.604549332734
"TMEM53",200.604113860379,177.494013941989,74.5691082827159,75.0226113560685
"NDUFA2",98.9994328142129,102.350562784067,146.855488760859,179.135623033878
"RNF32",23.4472340875767,51.8230697640843,222.185506311766,229.661055171638
"C17orf100",58.6180852189419,76.4390279020244,194.792772656891,196.742970597037
"VWA1",91.183688118354,106.237293016373,166.639129733824,162.293812321291
"SPHKAP",254.011702615415,272.071116261443,0,0
"WASL-DT",31.2629787834357,46.6407627876759,224.468234116339,223.536760367061
"MED11",194.090993280496,155.469209292253,89.0263843783445,87.2712009652226
"GRTP1",91.183688118354,89.3947953430454,168.921857538397,176.073475631589
"COL11A2",175.854255656826,164.538246500968,92.0700214511085,92.6299589192275
"FAM66D",149.801773337296,145.104595339436,115.658208765029,114.064990735247
"ATP5ME",87.2758157704245,85.5080651107391,181.096405829453,170.714717677585
"KCND3",272.248440239085,246.159581379401,3.04363707276392,3.06214740228851
"MACROD2",152.407021569249,128.262097666109,123.267301446939,120.189285539824
"GRIA4",9.1183688118354,1.29557674410211,254.904604843978,258.751455493379
"STAG3L3",97.6968086982364,104.941716272271,165.878220465633,155.403980666142
"GPLD1",32.5656028994121,62.1876837169012,214.576413629856,214.350318160196
"PRSS27",75.5521987266362,67.3699906933096,192.510044852318,187.556528390171
"KCNH4",2.60524823195297,5.18230697640843,253.382786307596,261.813602895668
"PCSK4",104.209929278119,117.897483713292,148.377307297241,152.341833263853
"SMARCE1",131.565035713625,193.040934871214,98.9182048648273,98.7542537238045
"C1QTNF2",250.103830267485,229.317083706073,21.3054595093474,21.4350318160196
"PRECSIT",243.590709687603,251.341888355809,12.9354575592466,13.7796633102983
"HLA-F",296.998298442639,222.839199985563,0,1.53107370114426
"DLX6-AS1",0,0,257.187332648551,264.110213447384
