"","Fibroblast_1","Fibroblast_2","SH-SY5Y_1","SH-SY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC01518",0,0,198.138929981832,200.620966722963,99.6899741761985,9.7077256394151,1.48192693865637,6.55074510502987,5.72507061201608e-11,1.5470898850355e-10
"LINC01521",76.8410639444264,68.3749226167381,356.497070932562,339.74891682586,210.365493579897,2.26157232559919,0.267733020020005,8.44711767502643,2.98582732759213e-17,1.03746504361344e-16
"LINC01572",28.6526001148708,19.3513931934165,169.068353382181,179.867073613691,99.2348550760396,2.86239880176148,0.412167844456887,6.94474069303795,3.79156112613233e-12,1.08119332045385e-11
"LINC01597",0,1.2900928795611,48.9609711152016,48.4257505883013,24.669203645766,6.231633754712,1.58949700378493,3.92050676400972,8.83629556877668e-05,0.000168076653533546
"LINC01619",16.93108188606,5.16037151824439,112.457230530229,110.687429916117,61.3090284626626,3.33844468547585,0.570778043880581,5.84893676494382,4.9472510630939e-09,1.21897739816606e-08
"LINC01695",16.93108188606,14.1910216751721,63.4962594150271,61.4930166200652,39.0278448990811,2.00604048252419,0.59739972852491,3.35795345518062,0.000785218339357003,0.00137755895833481
"LINC01703",13.0239091431231,5.16037151824439,51.2560166362267,50.7317387115538,30.043009002287,2.48896506969194,0.726276345850004,3.4270220748811,0.000610239459502285,0.00108209511173385
"LINC01717",0,0,51.2560166362267,49.9630760038029,25.3047731600074,7.72969261152061,1.5904983716595,4.85991859485877,1.17434030622631e-06,2.5544308095476e-06
"LINC01719",15.6286909717477,20.6414860729776,142.292822303555,142.971263641651,80.3835657474829,2.97493757000475,0.458460565005219,6.48897156502628,8.642427420337e-11,2.31045155528103e-10
"LINC01735",0,0,35.9557131627262,33.8211591410358,17.4442180759405,7.19303581558167,1.65347287253222,4.35025934508732,1.35976614046952e-05,2.7506274570908e-05
"LINC01770",0,0,25.2455007312758,24.5972066480261,12.4606768448255,6.70766451497506,1.73151386268205,3.87387283436768,0.000107119323247651,0.000202528619173785
"LINC01776",1.30239091431231,2.58018575912219,47.4309407678516,48.4257505883013,24.9348170073968,4.62405704342605,1.06300311570631,4.34999387593856,1.36141334027005e-05,2.75363155545391e-05
"LINC01801",1.30239091431231,0,169.068353382181,162.956494043173,83.3318095849164,8.00071520519773,1.48739021489262,5.37902907057604,7.48886168084333e-08,1.73591956854706e-07
"LINC01816",7.81434548587387,7.74055727736658,42.0758345521264,40.7391235107932,24.59246520654,2.41254143919994,0.773365368062466,3.11953642977853,0.00181135860684661,0.00307518138531416
"LINC01833",0,0,906.542980804905,906.25333243821,453.199078310779,11.8923480450157,1.45211441553396,8.18967701015674,2.61928139382713e-16,8.79167493928063e-16
"LINC01918",0,0,18.3603641682006,17.6792422782687,9.00990161161734,6.2398654990058,1.8317307633446,3.4065407558108,0.000657917268696273,0.0011638440674448
"LINC01970",0,0,16.8303338208506,16.1419168627671,8.24306267090441,6.11153463546866,1.86429997309273,3.27819273919213,0.00104474034101376,0.00181244841182612
"LINC01971",0,0,33.6606676417011,33.052496433285,16.6782910187465,7.12825329594766,1.66248318406091,4.28771452504899,1.80520886128028e-05,3.61637972398966e-05
"LINC01973",0,0,14.5352882998255,13.0672660317638,6.90063858289733,5.85509044090219,1.93708628593075,3.02262758423737,0.00250590424570832,0.00419892242591852
"LINC01977",1.30239091431231,0,51.2560166362267,53.806389542557,26.591199273274,6.34045121631564,1.57933053494566,4.01464486123786,5.95353695060126e-05,0.00011459074293859
"LINC02037",0,0,43.6058648994765,45.3510997572981,22.2392411641936,7.5433830229637,1.60996940376567,4.68542011128905,2.79386260864294e-06,5.93879381041198e-06
"LINC02106",0,0,33.6606676417011,33.8211591410358,16.8704566956842,7.14477820495051,1.660107768682,4.30380384920607,1.6789032043837e-05,3.37210170568269e-05
"LINC02118",0,0,440.648740036815,437.369080710213,219.504455186757,10.8464560428934,1.46111077554201,7.42343169625165,1.14124034987487e-13,3.46617061914784e-13
