"","Fibroblast_1","Fibroblast_2","SH-SY5Y_1","SH-SY5Y_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FCGRT",3327.60878606795,3132.34551157434,566.111228519519,560.355113950344,1896.60516002804,-2.51969569477549,0.0994857943401767,-25.3271907963037,1.60316290167663e-141,2.8481295734389e-140
"FCHSD1",1512.07585151659,1350.72724490047,396.277859963663,396.62995719942,913.927728395036,-1.85215903661933,0.13184559379466,-14.0479403468267,7.93071673406814e-45,5.16866051463597e-44
"FKBP15",2621.71291051068,2728.54644027172,820.861281353302,817.857121046867,1747.24443829564,-1.70705451577075,0.0985078687939126,-17.3291183402015,2.83643414902539e-67,2.48191641355215e-66
"FURIN",5437.4820672539,5516.43715300325,725.999399817599,720.236957162513,3100.03889430932,-2.92107194057225,0.0839507294916348,-34.795075138249,2.88732718056139e-265,9.94692998674536e-264
"FYCO1",4773.26270095462,4505.00433542735,485.019620109966,482.720180467512,2561.50170923986,-3.26114578864122,0.0931481488254447,-35.0103123869102,1.56763797060319e-268,5.46709718536439e-267
"GFRA1",854.368439788876,901.774922813207,150.70798921398,152.195216134661,514.761641987681,-2.53550968689471,0.169960949409495,-14.9181897118366,2.50990767574007e-50,1.77840099978178e-49
"GOLPH3",4025.69031613935,4526.93591437989,1843.68656855681,1841.71584777095,3059.50716171175,-1.21457844261622,0.0877565350962403,-13.8403190290526,1.45559132097604e-43,9.26602810924178e-43
"GPR107",6950.8603096848,7082.60990879042,2987.38425320097,2969.3440400414,4997.5496279294,-1.23628372928158,0.0698401173975803,-17.7016273074652,4.07364282796935e-70,3.71572233030244e-69
"GPR135",264.385355605399,278.660061985197,100.982002925103,96.8515011766026,185.219730423076,-1.4567968317054,0.262500850816489,-5.54968422835257,2.86186033167683e-08,6.76490408812795e-08
"GRIA1",2715.48505634117,2968.50371587008,6.88513656307523,7.68662707750815,1424.64013396296,-8.60778703456127,0.347960584842559,-24.7378220681403,4.19257482582317e-135,7.10645617183441e-134
"HFE",875.206694417873,740.51331286807,1.53003034735005,1.53732541550163,404.696840762199,-9.04091486285016,0.74434200634795,-12.1461838586924,6.01062366886492e-34,3.22643591630853e-33
"HLA-B",15813.6304815801,15442.4117683463,8.41516691042528,11.5299406162622,7818.99683936327,-10.6144026954327,0.290336687940126,-36.5589439307154,1.2855575042483e-292,4.92864755127612e-291
"HLA-DPA1",160.194082460414,119.978637799182,3.0600606947001,3.07465083100326,71.5768579463249,-5.51307294733239,0.653083063196097,-8.4416106587609,3.12994410736769e-17,1.08642899488111e-16
"HLA-DPB1",182.334728003724,185.773374656798,3.82507586837513,3.84331353875407,93.9441230169127,-5.58507345441465,0.574069305209247,-9.72891844892996,2.26993532980009e-22,9.22752073751192e-22
"HLA-F",296.945128463207,221.895975284509,0,1.53732541550163,130.094607290804,-8.40190420577564,1.06773965310341,-7.86886970185597,3.57859644856632e-15,1.1535183541934e-14
"HLA-H",501.42050201024,455.402786485067,63.4962594150271,54.5750522503078,268.72365004016,-3.01845249705032,0.240927656422499,-12.5284599612635,5.21658047592238e-36,2.916339789436e-35
"HYAL3",225.31362817603,304.461919576419,109.397169835529,112.224755331619,187.849368229899,-1.25743159600683,0.27358042221824,-4.59620460342646,4.30256222074467e-06,9.0249125302121e-06
"IFITM2",580.866347783291,615.374303550643,56.6111228519519,55.3437149580586,327.048872285986,-3.41752402190088,0.224123634995494,-15.2483874445887,1.68749361257111e-52,1.22585079195499e-51
"IFNAR1",2593.06031039581,2536.32260121712,826.216387569027,816.319795631365,1692.97977370333,-1.64284761938172,0.0990005682314416,-16.5943251511557,7.65999215808651e-62,6.27579868851623e-61
"IGF2R",19444.6963506828,18387.6938123843,5580.02067678564,5558.20003974614,12242.6527198997,-1.76409525119368,0.0614831169179153,-28.6923523013462,4.75277444221631e-181,1.09974279464035e-179
"IL15",283.921219320084,282.53034062388,29.070576599651,27.6718574790293,155.798498505661,-3.31941139211851,0.316456000792235,-10.4893299030781,9.6711832947084e-26,4.31456204563508e-25
"IL15RA",246.151882805027,338.004334445007,0.765015173675025,0.768662707750814,146.422473782865,-8.57331735377498,1.06348425495181,-8.06153670245309,7.53412656223341e-16,2.48900224728598e-15
"INPP5B",854.368439788876,922.416408886184,368.737313711362,369.726762428142,628.812231203641,-1.26670688973458,0.149226140186049,-8.48850535271704,2.09311597181835e-17,7.31320338723777e-17
"IRAK2",224.011237261717,236.086996959681,22.9504552102508,23.0598812325244,126.527142666043,-3.32193735204379,0.350584122065821,-9.47543583111874,2.65649404090156e-21,1.0499859155381e-20
"IRAK4",744.967602986642,785.666563652708,292.23579634386,295.166479776313,529.509110689881,-1.38173795651783,0.160446208373339,-8.61184549342979,7.1893697917504e-18,2.55181309389945e-17
"IRF7",520.956365724924,705.68080511992,123.932458135354,123.754695947881,368.58108123202,-2.30822481752714,0.214871527194701,-10.7423484519454,6.43854001944719e-27,2.95866243750787e-26
"ITCH",2767.58069291366,2940.12167251974,1094.73671352896,1103.79964833017,1976.55968182313,-1.37639134891994,0.0946438087434108,-14.5428567086884,6.48297130059223e-48,4.42551384924672e-47
"ITM2B",9103.71249104305,11009.6526341744,2856.56665850254,2874.0298642803,6460.99041200007,-1.81142133387151,0.0870671727640606,-20.8048714155471,3.91007278941736e-96,4.74347687539031e-95
"JAK1",9300.37351910421,9764.71300539794,2724.21903345677,2739.5138904239,6132.20486209571,-1.80298565697114,0.0686731899063256,-26.2545785251934,6.33702936450611e-152,1.2258326506466e-150
"JAK2",434.998565380312,451.532507846384,144.58786782458,149.889228011409,295.252042265671,-1.59004827139687,0.210859636934561,-7.5407901413125,4.67132338131121e-14,1.44276698141825e-13
"JAK3",209.684937204282,183.193188897676,29.070576599651,28.4405201867801,112.597305722097,-2.7720952610522,0.356946681717281,-7.76613259917579,8.09188402599399e-15,2.57171703400977e-14
"KIF13A",5289.00950302229,5387.42786504714,938.673618099256,942.380479702499,3139.3728664678,-2.50482376722635,0.0820904824534821,-30.5129619459327,1.75403963068283e-204,4.61154939435251e-203
